game_id,utc_date,utc_time,time_control,termination,eco,opening_name,num_moves,white_elo,black_elo,elo_diff,result,winner
PbnhdYK9,2025.12.01,00:00:39,600+0,Normal,A00,Van't Kruijs Opening,130,1541,1561,-20,0-1,black
pOi4ZIQK,2025.12.01,00:00:39,600+0,Abandoned,?,?,0,1531,1143,388,0-1,black
XpXCZhuR,2025.12.01,00:00:08,480+0,Normal,C02,French Defense: Advance Variation,93,1139,1206,-67,1-0,white
Lia5RIQp,2025.12.01,00:00:20,600+5,Normal,B20,Sicilian Defense: Bowdler Attack,71,998,1145,-147,1-0,white
hEo0DVD3,2025.12.01,00:00:20,600+5,Time forfeit,C66,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",62,1595,1526,69,0-1,black
D0QgwH18,2025.12.01,00:00:20,600+5,Normal,E11,Bogo-Indian Defense: Grünfeld Variation,105,2092,2083,9,1-0,white
7SpPyDg6,2025.12.01,00:00:20,600+5,Normal,C50,Italian Game: Anti-Fried Liver Defense,46,1279,1276,3,0-1,black
3Qz5ExfS,2025.12.01,00:00:20,600+5,Normal,E61,King's Indian Defense,53,1506,1549,-43,1-0,white
BQT3TYdP,2025.12.01,00:00:20,600+5,Time forfeit,C50,Four Knights Game: Italian Variation,85,1465,1426,39,1-0,white
ozi3chp8,2025.12.01,00:00:20,600+5,Normal,D38,Queen's Gambit Declined: Ragozin Defense,146,1923,2054,-131,1/2-1/2,draw
Pr11nCJF,2025.12.01,00:00:20,600+5,Normal,D00,Queen's Pawn Game,75,1671,1687,-16,1-0,white
5ry2JZaa,2025.12.01,00:00:20,600+5,Normal,C01,French Defense: Exchange Variation,27,1812,1857,-45,1-0,white
rotqmRk5,2025.12.01,00:00:20,600+5,Normal,C20,King's Pawn Game: Leonardis Variation,34,1691,1722,-31,0-1,black
FUdlx8Ke,2025.12.01,00:00:24,420+2,Normal,D00,Queen's Pawn Game,89,1548,1099,449,1-0,white
oBGPQojT,2025.12.01,00:00:24,600+0,Normal,A00,Van't Kruijs Opening,90,1073,1431,-358,0-1,black
ZGFey41g,2025.12.01,00:00:24,600+0,Normal,C23,Bishop's Opening,16,1060,1151,-91,0-1,black
Lq3bGw6K,2025.12.01,00:00:24,600+0,Normal,A45,Queen's Pawn Game: Chigorin Variation,128,2030,2038,-8,0-1,black
vXpldGPm,2025.12.01,00:00:03,600+5,Normal,B01,Scandinavian Defense: Main Line,46,694,754,-60,0-1,black
WgHaQ8dV,2025.12.01,00:00:11,360+3,Normal,D02,Queen's Pawn Game: Symmetrical Variation,35,1601,1586,15,1-0,white
TipYiDj7,2025.12.01,00:00:11,720+19,Normal,D00,Queen's Pawn Game,80,1423,1451,-28,0-1,black
gPaQIhZx,2025.12.01,00:00:26,600+5,Normal,A48,London System,116,948,1220,-272,0-1,black
eYc7Z8PY,2025.12.01,00:00:26,600+0,Normal,C47,Four Knights Game: Italian Variation,34,1777,1773,4,0-1,black
VtmDLzSK,2025.12.01,00:00:26,600+0,Normal,A45,Indian Defense,56,1624,1645,-21,0-1,black
FLuSPX2p,2025.12.01,00:00:26,600+0,Normal,C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with d6",79,1561,1612,-51,1-0,white
Q6ijK4ZW,2025.12.01,00:00:26,600+0,Normal,C20,King's Pawn Game: Napoleon Attack,90,1133,1063,70,0-1,black
oiQcuIfG,2025.12.01,00:00:26,600+0,Normal,B00,Pirc Defense,80,1689,1689,0,0-1,black
dPsexrXi,2025.12.01,00:00:26,600+0,Normal,B00,Owen Defense,35,1725,1660,65,1-0,white
6wpOlgI6,2025.12.01,00:00:26,600+0,Normal,B00,Pirc Defense,65,1273,1237,36,1-0,white
Lqj2b5fX,2025.12.01,00:00:26,600+0,Normal,D00,Queen's Pawn Game,131,1500,1479,21,1-0,white
qgZXtLCU,2025.12.01,00:00:26,600+0,Time forfeit,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",9,1273,1368,-95,1-0,white
DMgu9mT2,2025.12.01,00:00:26,600+0,Normal,B20,Sicilian Defense: Snyder Variation,33,1860,1800,60,1-0,white
1vRKA4k6,2025.12.01,00:00:26,600+0,Normal,A45,Queen's Pawn Game: Chigorin Variation,60,1909,2004,-95,0-1,black
k1yoOlml,2025.12.01,00:00:26,600+0,Normal,C42,Petrov's Defense: Three Knights Game,63,1713,1781,-68,1-0,white
